Ownership,Total Revenue (USD mm),Product Name,g2Link,Users,Industries,Market Segment,Description,Website,Ratings,Number Of Reviews,Discussions,Languages Supported,Seller,Company Website,Year Founded,HQ Location,Twitter,LinkedIn Page
,,BookYourData,https://www.g2.com/products/bookyourdata/reviews,"Owner, Technical Solutions Manager","Information Technology and Services, Marketing and Advertising","40% Mid-Market, 39% Small-Business","Bookyourdata is the world's first pay-as-you-go B2B prospecting platform with more than 100 million direct B2B contacts with a 95% accuracy guarantee and has been providing services for more than 20,000 clients since 2015.
Our innovative and robust platform serves business contact lists to its customers from 200+ countries with 50+ search criteria, web technologies, ABM, and two more special categories for healthcare professionals by specialties and real estate agents in addition to business contacts.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=75893&secure%5Btoken%5D=20b0aef9abf682de3a868a078f5d34cbe2698a479ba4bac25f6b9b08f6611684&secure%5Burl%5D=https%3A%2F%2Fwww.bookyourdata.com%2Fready-made-lists%2Fjob-levels,5.0 out of 5 stars,83 reviews,https://www.g2.com/products/bookyourdata/discuss,English,Bookyourdata,http://bookyourdata.com,2015,"Washington, District of Columbia",@bookyourdata 949 Twitter followers,https://www.linkedin.com/company/bookyourdata.com/
,,6sense Revenue AI,https://www.g2.com/products/6sense-revenue-ai/reviews,"Account Executive, Sales Development Representative","Computer Software, Information Technology and Services","61% Mid-Market, 33% Enterprise","6sense reinvents the way organizations create, manage, and convert pipeline to revenue. 6sense Revenue AI captures anonymous buying signals, targets the right accounts at the ideal time, and recommends the channels and messages to boost revenue performance. Removing guesswork, friction and wasted sales effort, 6sense empowers sales, marketing, and customer success teams to significantly improve pipeline quality, accelerate sales velocity, increase conversion rates, and grow revenue predictably. Learn more at 6sense.com.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=4228&secure%5Btoken%5D=25d34d65e4759625290aebc14e1bd408309a8250ce6dc759d90297df1302aa07&secure%5Burl%5D=https%3A%2F%2F6sense.com%2Fproducts%2F,4.4 out of 5 stars,507 reviews,https://www.g2.com/products/6sense-revenue-ai/discuss,English,6sense,http://www.6sense.com,2013,"San Francisco, CA","@6senseInc 18,477 Twitter followers",https://www.linkedin.com/company/3677944/
,,Hunter,https://www.g2.com/products/hunter/reviews,"Account Executive, Sales Development Representative","Computer Software, Information Technology and Services","55% Small-Business, 36% Mid-Market","Hunter is a cloud-based solution that helps businesses find and verify professional email addresses from domains, companies or a specific professional on the web, and much more.

A free cold email platform is also included to send email campaigns directly from Hunter.

Hunter makes it incredibly easy for sales, recruiters and marketers to reach out to other professionals with simple but powerful tools.

Hunter crawls the web and indexes publicly available professional email addresses. The data is easily accessible via a simple user interface to find the right person in a company or find how to contact already identified professionals.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=13715&secure%5Btoken%5D=422a120c0a8f02e5bc35cb56867b756335d3d3b7899e5e0cfbb33fdbf6f8938e&secure%5Burl%5D=https%3A%2F%2Femailhunter.co%2F,4.4 out of 5 stars,484 reviews,https://www.g2.com/products/hunter/discuss,"English, French, Italian",Hunter,https://hunter.io,2015,"Wilmington, Delaware","@EmailHunter 2,417 Twitter followers",https://www.linkedin.com/company/11347551/
,,Kaspr,https://www.g2.com/products/kaspr/reviews,"Business Manager, Sales","Information Technology and Services, Computer Software","63% Small-Business, 27% Mid-Market","Kaspr retrieves the contact details (phone number and emails) of any prospect by directly browsing on their Linkedin profile or by using our search engine. 
Use Kaspr to generate leads easily and get qualified contact information in just one click !
Manage your leads directly on LinkedIn or export the contacts on your CRM, ATS or emai marketing platform !",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=123833&secure%5Btoken%5D=d496e3c951a55c659fe59fb2e611b9e3183e02bb4a7cf2477866d114ed8be983&secure%5Burl%5D=https%3A%2F%2Fkaspr.io%2F,4.4 out of 5 stars,426 reviews,https://www.g2.com/products/kaspr/discuss,"German, English, French, Spanish",Kaspr,https://kaspr.io/,2018,New-York,,https://www.linkedin.com/company/kasprdata/
,,Adapt,https://www.g2.com/products/adapt-adapt/reviews,"Business Development Manager, Business Development Executive","Information Technology and Services, Marketing and Advertising","64% Small-Business, 28% Mid-Market","Adapt is a global B2B contact and company database provider across multiple industries. Adapt has 500,000+ users and 100 million business contacts, including industry-specific company database and contact information such as job title, direct dial, and email addresses. Adapt is a unified sales accelerating platform with the industry-leading products Lead Builder, and Prospector.

With robust CRM integration and chrome extension, Adapt’s database enables sales representatives, marketing leaders, recruiters and decision-makers to connect faster, engage seamlessly and start prospecting without any delay. From finding the right connects to building qualified leads and engaging with prospects, Adapt is built for modern marketers and sales teams to hit the target faster.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=67993&secure%5Btoken%5D=7378773db99fffc9d238ce84562dc257e261cd1de301e41bb32195ed93338617&secure%5Burl%5D=https%3A%2F%2Fwww.adapt.io%2Fpricing.htm,4.6 out of 5 stars,"2,671 reviews",https://www.g2.com/products/adapt-adapt/discuss,English,Adapt,https://www.adapt.io,2016,"Coimbatore, Tamil Nadu",@Adapt_io 522 Twitter followers,https://www.linkedin.com/company/14460031/
,,Collective[i],https://www.g2.com/products/collective-i/reviews,,,"45% Small-Business, 32% Mid-Market","Productive, enlightened sales teams work smarter and win more. Collective[i] is a holistic approach to aligning your data, people and processes. We call this Customer Relationship Optimization. Imagine everything from your data, how your sales team operates and the activities performed, getting more efficient by simply working using the existing sales tools in your stack. 


For sales operations and marketing, Collective[i] provides clean, comprehensive and automated data collection. Using Robotic Process Automation (RPA), activities are auto-captured from the work tools sales teams use (email, calendar, etc.), cleansed to update contacts, company names, etc. and logged into CRM automatically using our patented technology and massive network. No data or valuable time is lost increasing the quality of data logged exponentially and organizational productivity by 20-30%. Collective[i] maintains the ongoing fitness of CRM data automatically correcting outdated contacts and target prospect information. 

For sales management, Collective[i] offers transparency and AI/ML driven intelligence into each and every opportunity. No more lengthy pipeline reviews, or end of quarter surprises. Managers can commit to revenue with confidence, inspect important opportunities anytime and better manage and retain exceptional talent with complete visibility into the volume and quality of their activities. Collective[i] empowers managers with AI/ML generated intelligence about buyers based on Collective[i]’s vast network.

For sales professionals, Collective[i] offers guidance through each buyer's journey, AI/ML driven prompts on where and on whom to focus time as well as highlighting members of social and work networks who can help accelerate sales and increase win rates. 

Collective[i]’s technology is transformational and an essential part of the technology stack for the modern sales organization.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=48387&secure%5Btoken%5D=2682fa542a81ef651788fcd5c8645fcd395b3046155785b6144096b3fd0bbf89&secure%5Burl%5D=https%3A%2F%2Fwww.collectivei.com%2Fwhat-is-collectivei%2F,4.9 out of 5 stars,22 reviews,https://www.g2.com/products/collective-i/discuss,English,Collective[i],http://www.collectivei.com,2008,"New York, New York","@collectivei 1,371 Twitter followers",https://www.linkedin.com/company/2412659/
,,Slintel,https://www.g2.com/products/slintel/reviews,Business Development Manager,"Computer Software, Information Technology and Services","58% Small-Business, 41% Mid-Market","Slintel is a sales intelligence software leader in capturing technographic-powered buying intent. Slintel evaluates over 100 billion data points and analyzes factors such as buyer journeys, technology adoption patterns, and other digital footprints to deliver market and sales intelligence. Born out of a desire to help buyers and sellers find their best fit, Slintel’s mission is to improve transparency and trust in the B2B ecosystem.

Slintel is now a part of 6sense. With the addition of Slintel, 6sense takes another giant step in the direction of generating predictable revenue growth. Visit www.slintel.com or www.6sense.com to learn more",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=55370&secure%5Btoken%5D=f0fbcf668f0c412544e215524fe0117e42b9500c92168a63a04f249097b6406e&secure%5Burl%5D=https%3A%2F%2Fwww.slintel.com%2F%3Futm_source%3DG2Crowd%26utm_medium%3DReviews%26utm_campaign%3DG2Crowd,4.4 out of 5 stars,114 reviews,https://www.g2.com/products/slintel/discuss,English,6sense,http://www.6sense.com,2013,"San Francisco, CA","@6senseInc 18,477 Twitter followers",https://www.linkedin.com/company/3677944/
,,Crossbeam,https://www.g2.com/products/crossbeam/reviews,"Account Executive, Partner Account Manager","Computer Software, Information Technology and Services","67% Mid-Market, 17% Enterprise","Crossbeam watches your partner ecosystem and securely surfaces the data, people, and companies in your network that will accelerate and close your next deal.

Book more revenue with the people and partners you already have, and ensure your GTM teams are focusing on the right partnerships.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=88125&secure%5Btoken%5D=0e264f7768323477e5177486a3469fb0a266510db0b7e52e37294c47cc20ba10&secure%5Burl%5D=https%3A%2F%2Fwww.crossbeam.com%2Fhow-it-works%2Fpricing%2F,4.7 out of 5 stars,187 reviews,https://www.g2.com/products/crossbeam/discuss,English,Crossbeam,https://www.crossbeam.com/,2018,"Philadelphia, Pennsylvania","@Crossbeam 1,369 Twitter followers",https://www.linkedin.com/company/11765969/
,,Mr. E by EasyLeadz,https://www.g2.com/products/mr-e-by-easyleadz/reviews,"Student, Business Development Manager","Information Technology and Services, Marketing and Advertising","56% Small-Business, 29% Mid-Market","Mr. E - Find direct contact number of prospects

Mr. E by EasyLeadz is the easiest way to find B2B contact numbers with just one click. Enrich any business profile with direct mobile numbers i.e direct dials.

Our hit rate and the numbers accuracy is probably the best in the industry. Actions speak louder than words, try it out for free.

Who can use this extension?

Anyone who is looking for efficient and faster ways to reach out to other professionals over phone calls can use this extension to instantly find contact numbers in a click.

- Sales professional, recruiters, headhunters, account managers, marketers, business developers, and people with direct client relationships.
- Professionals looking to increase their productivity and efficiency
- Teams, project managers, coordinators and internal communications

About EasyLeadz.

EasyLeadz helps business professionals establish a fast and true connection with their leads, contacts, and candidates.

B2B engagement is based on trust. EasyLeadz helps you build that trust using simple tools which allow you to enrich and verify business profiles. Today, over 10,000 sales representatives, recruitment managers and marketers transform the way they engage with their leads, contacts and candidates by using Mr. E on a daily basis.

EasyLeadz is compatible with LinkedIn, Zaubacorp, Tofler, Instafinancial and Crunchbase. Our customers range from small and medium businesses to enterprises including AUDI, UBER, Amazon, Salesforce, Upgrad, Microsoft, Boston Consulting Group, AT Kearney and many more.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=62122&secure%5Btoken%5D=69527aa7256050f0e7cb9914e9683b662c010abfc78908932ff3a8f48274041a&secure%5Burl%5D=https%3A%2F%2Fwww.easyleadz.com%2Fpricing%2F,4.6 out of 5 stars,680 reviews,https://www.g2.com/products/mr-e-by-easyleadz/discuss,English,EasyLeadz,http://www.easyleadz.com/,2016,Delhi,@easyleadz 201 Twitter followers,https://www.linkedin.com/company/easyleadz/
,,Foundry Intent,https://www.g2.com/products/foundry-intent/reviews,,"Computer Software, Information Technology and Services","56% Small-Business, 40% Mid-Market","Foundry Intent combines KickFire's first-party intent data, third-party intent from LeadSift, and Foundry's proprietary publishing and events network into a robust all-in-one platform to help B2B sales and marketing teams identify which accounts are in-market and who is showing intent to buy at the contact level.

To learn more about Foundry, visit foundryco.com/our-solutions/intent-data/.

Note: Many reviews are for KickFire and LeadSift products, which are now built into Foundry Intent.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=14869&secure%5Btoken%5D=992dfddb8385425c086f32f36900b04c31fd8db6c953391a193a10906482588d&secure%5Burl%5D=https%3A%2F%2Ffoundryco.com%2Four-solutions%2Fintent-data%2F,4.3 out of 5 stars,122 reviews,https://www.g2.com/products/foundry-intent/discuss,English,Foundry,https://foundryco.com/,1964,"Needham Heights, Massachusetts","@foundryidg 14,502 Twitter followers",https://www.linkedin.com/company/foundryidg/
,,Seamless.ai,https://www.g2.com/products/seamless-ai/reviews,"Account Executive, CEO","Computer Software, Information Technology and Services","65% Small-Business, 30% Mid-Market","Seamless.AI is the first and only real-time search engine for B2B sales leads. 

Over 350,000 users and tens of thousands of President's Club Award Winners use Seamless.AI to find verified cell phones, emails, and direct dials for anyone they need to sell to. 

JUST ANNOUNCED: Buyer Intent and Job Changes by Seamless.AI! 

 Seamless.AI just released Buyer Intent Data so you can build pipeline faster than ever by reaching out to accounts that are currently in the market and ready to buy your product or service. 

Job Changes by Seamless.AI gives you access to anyone that has changed their role, or moved on to a new company, so you can reach out during this critical time to clients and prospects without losing touch.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=67456&secure%5Btoken%5D=44cca6c88d40a309ea55801dd93868e8101f054003cef9b01aa050192a9e0733&secure%5Burl%5D=http%3A%2F%2Fwww.seamless.ai%2Fabout%2F,4.2 out of 5 stars,979 reviews,https://www.g2.com/products/seamless-ai/discuss,English,Seamless.ai,http://www.seamless.ai,2015,"Columbus, Ohio","@SeamlessAI 25,344 Twitter followers",https://www.linkedin.com/company/3184655/
,,LinkedIn Sales Insights,https://www.g2.com/products/linkedin-sales-insights/reviews,,"Computer Software, Information Technology and Services","49% Mid-Market, 33% Small-Business",LinkedIn Sales Insights is a platform for Sales Operations that delivers real-time market and account data from the world’s largest professional network. Transform your sales planning with more accurate account data and insights to focus your sales teams on the right accounts.,https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=142082&secure%5Btoken%5D=10f472037d2b869e9ac54b4409ca25e062ddfa961a8f39574b4e293e6e352e3b&secure%5Burl%5D=https%3A%2F%2Fbusiness.linkedin.com%2Fsales-solutions%2Fcx%2Flinkedin-sales-insights,4.2 out of 5 stars,70 reviews,https://www.g2.com/products/linkedin-sales-insights/discuss,,LinkedIn,http://linkedin.com,2003,"Sunnyvale, CA","@LinkedIn 1,779,905 Twitter followers",https://www.linkedin.com/company/1337/
,,BuzzBoard,https://www.g2.com/products/buzzboard/reviews,"Marketing Consultant, Account Executive","Marketing and Advertising, Broadcast Media","35% Mid-Market, 33% Enterprise","Since 2014, BuzzBoard’s mission is to help SMB solution providers deeply understand their customers and accelerate business growth. With account intelligence on 30+ million SMBs, BuzzBoard powers demand generation performance by identifying, segmenting, and scoring the accounts that matter based on the ideal customer profile of your business. BuzzBoard sets itself apart from other data providers with its robust AI-driven recommendation engine tuned specifically to SMB needs, triggers, and behaviors, AI-sourced and human audited data, and proprietary SMB signal stack and categorization system that unlocks deeper insights for high-value personalization. With BuzzBoard, sales and demand generation teams no longer have to rely on manual efforts and heavy lifting to identify best-fit accounts and the contacts to engage within them – BuzzBoard delivers data they can count on.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=4649&secure%5Btoken%5D=14589f2337f59b119ed2b629880632842c46f5409d6911dcedd88e1e9a1cf54f&secure%5Burl%5D=https%3A%2F%2Fwww.buzzboard.com%2Fsolutions%2Fplatform%2F,4.4 out of 5 stars,166 reviews,https://www.g2.com/products/buzzboard/discuss,English,"BuzzBoard, Inc.",https://www.buzzboard.com/,2014,"San Francisco, California",@MyBuzzBoard 866 Twitter followers,https://www.linkedin.com/company/3594152/
,,Wappalyzer,https://www.g2.com/products/wappalyzer/reviews,,"Computer Software, Information Technology and Services","64% Small-Business, 24% Mid-Market","Wappalyzer is a web technology profiler and leads data provider. With thousands of technologies tracked across websites of millions of companies, Wappalyzer helps you to identify new prospects and increase your addressable market.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=131968&secure%5Btoken%5D=ede0bbbffc0d074dc61e98c2194ce1f7c072daf17c743a304e51bfa091dcb7dc&secure%5Burl%5D=https%3A%2F%2Fwww.wappalyzer.com%2F,4.7 out of 5 stars,42 reviews,https://www.g2.com/products/wappalyzer/discuss,English,Wappalyzer,https://www.wappalyzer.com/,2008,"Melbourne, VIC","@Wappalyzer 3,750 Twitter followers",https://www.linkedin.com/company/wappalyzer
,,Reveal,https://www.g2.com/products/reveal-reveal/reviews,,"Computer Software, Information Technology and Services","54% Mid-Market, 25% Small-Business","Reveal is how you drive revenue through your partner ecosystem. We help you identify the right partners to work with, share data securely, and reveal untapped growth opportunities based on business potential.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=124434&secure%5Btoken%5D=3e2e07754be91044f13a6704b3bfa717f7f24afa5408f6c3aa33d7d149354065&secure%5Burl%5D=https%3A%2F%2Freveal.co%2Fpartnership-team%3Futm_source%3Dg2%26utm_medium%3Dreferral%26utm_campaign%3DG2_profile,4.9 out of 5 stars,61 reviews,https://www.g2.com/products/reveal-reveal/discuss,"English, French, Portuguese, Spanish",Reveal,https://reveal.co,2020,"Paris, Ile-de-France",,https://www.linkedin.com/company/11563963/
,,Snovio,https://www.g2.com/products/snovio/reviews,"Marketing Manager, CEO","Information Technology and Services, Marketing and Advertising","65% Small-Business, 31% Mid-Market","Snov.io is your perfect CRM for efficient contact management and powerful cold outreach. Find more convertible leads, verify contacts, track your lead's progress, and automate cold outreach. Save your sales team's time and improve your revenue with personalized automated outreach and over 2000 integration options.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=32419&secure%5Btoken%5D=6f799304564df977f5798df7565a386f0739d4a35732ae910bd63d63a3122a4f&secure%5Burl%5D=https%3A%2F%2Fsnov.io%2Fpricing.html,4.5 out of 5 stars,257 reviews,https://www.g2.com/products/snovio/discuss,"English, Portuguese, Ukrainian, Chinese (Simplified)",Snovio,http://www.snov.io,2017,New York,"@snov_io 2,511 Twitter followers",https://www.linkedin.com/company/18052485/
